No,Time,Source,Destination,Protocol,Length,Info
1,2025-10-06 11:29:10.146176,192.168.0.83,142.251.43.138,DATA,71,
2,2025-10-06 11:29:10.176493,142.251.43.138,192.168.0.83,DATA,67,
3,2025-10-06 11:29:10.443550,192.168.0.1,224.0.0.2,IGMP,46,
4,2025-10-06 11:29:10.561756,,,DNS,112,
5,2025-10-06 11:29:10.562140,,,DNS,112,
6,2025-10-06 11:29:10.575341,192.168.0.83,192.168.0.1,DNS,92,
7,2025-10-06 11:29:10.575582,192.168.0.83,192.168.0.1,DNS,92,
8,2025-10-06 11:29:10.579862,,,DNS,299,
9,2025-10-06 11:29:10.580787,,,DNS,238,
10,2025-10-06 11:29:10.582017,192.168.0.83,52.182.143.208,TCP,66,
11,2025-10-06 11:29:10.592028,192.168.0.1,192.168.0.83,DNS,279,
12,2025-10-06 11:29:10.595817,192.168.0.1,192.168.0.83,DNS,218,
13,2025-10-06 11:29:10.824728,52.182.143.208,192.168.0.83,TCP,66,
14,2025-10-06 11:29:10.824797,192.168.0.83,52.182.143.208,TCP,54,
15,2025-10-06 11:29:10.825335,192.168.0.83,52.182.143.208,TLS,571,
16,2025-10-06 11:29:11.068198,52.182.143.208,192.168.0.83,TLS,153,
17,2025-10-06 11:29:11.069130,192.168.0.83,52.182.143.208,TLS,491,
18,2025-10-06 11:29:11.322941,52.182.143.208,192.168.0.83,TLS,4434,
19,2025-10-06 11:29:11.322941,52.182.143.208,192.168.0.83,TLS,164,
20,2025-10-06 11:29:11.323013,192.168.0.83,52.182.143.208,TCP,54,
21,2025-10-06 11:29:11.327323,192.168.0.83,52.182.143.208,TLS,1494,
22,2025-10-06 11:29:11.327323,192.168.0.83,52.182.143.208,TLS,646,
